City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Pravia,ES,45.0,few clouds,43.4906,-6.1508,Antiguo Casino Hotel
331,Radcliff,US,37.4,few clouds,37.8404,-85.9491,Super 8 by Wyndham Radcliff Ft. Knox Area
332,Morgan City,US,53.6,mist,29.6994,-91.2068,Hampton Inn & Suites Morgan City
335,Sur,OM,61.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
336,Qaqortoq,GL,42.8,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
337,San Quintin,MX,59.92,clear sky,30.4833,-115.95,Old Mill Hotel
339,Tinos,GR,61.0,overcast clouds,37.5375,25.1634,Hotel Poseidonio
341,Comodoro Rivadavia,AR,57.2,clear sky,-45.8667,-67.5,Austral Hotel
342,Asyut,EG,53.6,clear sky,27.181,31.1837,Florence Hotel Assiut
345,Shangqiu,CN,45.3,broken clouds,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
351,Semey,KZ,32.0,light rain,50.4111,80.2275,Hotel Zhana-Tau
352,Narsaq,GL,42.8,broken clouds,60.9167,-46.05,Hotel Narsaq
353,Westport,US,37.4,clear sky,41.1415,-73.3579,Norwalk Inn
354,Ponferrada,ES,34.0,broken clouds,42.5466,-6.5962,Hotel Temple Ponferrada
359,Mosquera,CO,57.2,scattered clouds,4.7059,-74.2302,Hotel SJ
363,Gallup,US,37.4,clear sky,35.5281,-108.7426,Days Inn by Wyndham Flagstaff Near Downtown/NAU on Route 66
364,Nouadhibou,MR,60.8,clear sky,20.931,-17.0347,El Medina
367,Debre Tabor,ET,45.36,overcast clouds,11.85,38.0167,Tigesh
369,Mikuni,JP,46.4,light rain,36.2171,136.1519,Haiya
371,Hosdurga,IN,62.53,overcast clouds,13.7981,76.2861,Manasa tailor
372,Faya,SA,48.2,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
377,Peniche,PT,52.0,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
378,Coquimbo,CL,59.0,clear sky,-29.9533,-71.3436,Hotel San Juan
384,Necochea,AR,59.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
393,Karrapur,IN,50.99,clear sky,23.95,78.85,Patel chaat center
397,Pakala,IN,64.4,mist,13.4667,79.1167,TELUGU TALLI OLD AGE HOME
400,Muros,ES,43.0,fog,42.7762,-9.0603,Apartment Av. Castelao
403,Ajtos,BG,46.4,fog,42.7,27.25,Комплекс Славеите
409,Ibb,YE,55.0,scattered clouds,13.9667,44.1833,Hotel Amenities
410,Portland,US,46.99,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
419,Kamaishi,JP,35.6,mist,39.2667,141.8833,Hotel Route Inn Kamaishi
424,Praia Da Vitoria,PT,60.8,few clouds,38.7333,-27.0667,Hotel Branco I
425,Narasannapeta,IN,68.04,clear sky,18.4167,84.05,G.lingaraju home
428,Balkanabat,TM,49.15,overcast clouds,39.5108,54.3671,Nebitchi Hotel
431,Acaponeta,MX,63.57,clear sky,22.4964,-105.3594,Hotel Casa Blanca
436,Tura,IN,60.96,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
441,Kaduqli,SD,57.85,broken clouds,11.0167,29.7167,فندق الله جابو
443,Abha,SA,48.2,scattered clouds,18.2164,42.5053,Abha Hotel
446,Adeje,ES,60.8,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
447,Petropavlovsk-Kamchatskiy,RU,30.2,scattered clouds,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
448,Kargasok,RU,32.7,overcast clouds,59.0556,80.8572,Hotel Kargasok
449,Sabha,LY,58.6,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
454,Never,FR,50.0,overcast clouds,46.9896,3.159,Hôtel Kyriad Nevers Centre
455,Falam,MM,56.5,clear sky,22.9167,93.6833,Falang Government Guesthouse
461,Vestmannaeyjar,IS,38.37,clear sky,63.4427,-20.2734,Glamping & Camping
462,Am Timan,TD,62.74,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
469,Dijkot,PK,49.62,clear sky,31.2167,72.9833,Al-Siddiq Food Point
471,Copiapo,CL,60.8,overcast clouds,-27.3667,-70.3333,Antay Casino Hotel
472,Olafsvik,IS,33.49,few clouds,64.8945,-23.7142,Hotel Olafsvik
475,Houston,US,61.0,few clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
476,Kutum,SD,46.17,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
479,Menongue,AO,65.3,light rain,-14.6585,17.691,Ritz Lauca
483,Pozo Colorado,PY,69.01,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
488,Los Llanos De Aridane,ES,60.8,clear sky,28.6585,-17.9182,Valle Aridane
494,Hofn,IS,32.36,light snow,64.2539,-15.2082,Hótel Höfn
495,Southampton,GB,39.99,overcast clouds,50.904,-1.4043,Leonardo Royal Southampton Grand Harbour
499,Penzance,GB,37.0,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
502,Vestmanna,FO,33.8,few clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
507,Arcachon,FR,44.6,scattered clouds,44.5875,-1.0519,Hôtel All Suites Le Teich
508,Tatawin,TN,69.8,overcast clouds,32.9297,10.4518,Sangho Privilege Tataouine
510,Meridian,US,48.2,overcast clouds,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
511,Kruisfontein,ZA,64.99,clear sky,-34.0033,24.7314,Oyster Bay House Rental
512,Awbari,LY,61.16,clear sky,26.5921,12.7805,فندق أوباري
514,Coos Bay,US,48.99,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
516,Hwange,ZW,68.32,light rain,-18.3693,26.5019,Hwange Colliery Guest House
523,Rabo De Peixe,PT,59.0,broken clouds,37.8,-25.5833,Quinta das Giestas
526,Oktyabrskoye,RU,32.0,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
534,Angul,IN,61.45,clear sky,20.85,85.1,Bluebay 08 satkosia Tarava
536,Grindavik,IS,33.8,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
538,Kalkar,DE,30.99,snow,51.7333,6.3,Wellnesshotel Till Moyland
546,Mount Gambier,AU,64.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
555,Colares,PT,52.0,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
556,San Cristobal,VE,65.98,overcast clouds,7.7669,-72.225,Pirineos
558,Noshiro,JP,33.8,light snow,40.2039,140.0242,Azuma Ryokan
560,Suffolk,US,37.99,clear sky,40.8668,-72.7996,Greenwood Village
563,Ukiah,US,57.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
568,Bereda,ES,34.0,broken clouds,43.2686,-7.5406,Pazo de Verdes
570,Margate,GB,36.0,light rain,51.3813,1.3862,Premier Inn Margate hotel
572,Karimnagar,IN,69.3,scattered clouds,18.4333,79.15,Hotel Nawab's
574,Annonay,FR,48.99,overcast clouds,45.2397,4.6708,Hotel The Originals Annonay Est La Siesta
578,Bustamante,MX,59.85,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
579,Lugovoy,KZ,38.34,moderate rain,42.9472,72.7644,Ж.Д Вокзал Луговая
586,Watsa,CD,60.42,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
587,Ghelari,RO,41.67,scattered clouds,45.7167,22.7833,Pensiunea Panorama
592,Neyshabur,IR,44.94,overcast clouds,36.2133,58.7958,Amiran Hotel
594,Talcahuano,CL,59.0,overcast clouds,-36.7167,-73.1167,Hotel Terramar
595,Palma Di Montechiaro,IT,55.99,overcast clouds,37.1926,13.765,B&B Manca Residence
597,Lianran,CN,57.0,overcast clouds,24.9227,102.485,Jinzhouwan Hotel
599,Maniitsoq,GL,31.95,clear sky,65.4167,-52.9,Hotel Heilmann Lyberth
603,Yambio,SS,62.65,few clouds,4.5721,28.3955,Naivasha Hotel
604,Shanting,CN,45.77,scattered clouds,35.0753,117.4578,JUNYI Hotel Shandong Zaozhuang Shanting District Xinyuan Road
614,Tres Arroyos,AR,60.51,few clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
620,Moss Point,US,50.0,overcast clouds,30.4116,-88.5345,Holiday Inn Express Pascagoula-Moss Point
623,Ninghai,CN,66.0,scattered clouds,29.2892,121.4247,Kaiyuan New Century Hotel
626,Surt,LY,65.03,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
627,Rincon,US,48.2,mist,32.296,-81.2354,Bent tree subdivision
629,Putina,PE,46.22,scattered clouds,-15.4667,-69.4333,Hotel Isla Suasi
633,Sardhana,IN,53.74,clear sky,29.15,77.6167,Satenderkumar
634,Mayo,US,42.8,clear sky,38.8876,-76.5119,Resorts Resource Group International
638,Regen,DE,33.01,overcast clouds,48.9667,13.1333,Tagungshaus Bayerischer Wald
640,Najran,SA,57.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
641,Ghugus,IN,65.32,broken clouds,19.9333,79.1333,Rajiv Colony Tempo Club
643,Agueda,PT,45.0,few clouds,40.5772,-8.4444,Residencial Hotel Celeste
644,Malangwa,NP,61.97,clear sky,26.8568,85.5581,Prem Meat House
645,Bonavista,CA,37.99,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
646,Jishou,CN,56.25,overcast clouds,28.3167,109.7167,7Days Inn Jishou Railway Station
648,Esna,EG,55.4,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
652,Sarab,IR,33.19,clear sky,38.6066,44.9883,مسجد امام رضا
653,Terrace,CA,30.2,light snow,54.5163,-128.6035,Northern Motor Inn
654,Langenburg,DE,41.0,overcast clouds,49.2544,9.8458,Mawell Resort
656,Filadelfia,US,37.99,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
657,Nakusp,CA,30.2,broken clouds,50.2499,-117.8023,Riders Retreat
659,Songea,TZ,64.72,overcast clouds,-10.6833,35.65,mtakuja
667,Tocopilla,CL,67.82,few clouds,-22.092,-70.1979,Hotel Galvarino
669,Jining,CN,47.44,broken clouds,35.405,116.5814,Yunhe Star Hotel
674,Parabel,RU,31.71,overcast clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
675,Tomatlan,MX,66.51,clear sky,19.9333,-105.25,Norma franco
676,Taltal,CL,63.68,clear sky,-25.4,-70.4833,Residencial Karime
677,Gat,IL,54.0,clear sky,31.61,34.7642,OlusHome
679,Dwarka,IN,69.17,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
680,Buta,CD,64.45,clear sky,2.7858,24.73,HOTEL BISO NA BISO
681,Praya,CV,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
685,Maralal,KE,56.01,clear sky,1.0968,36.698,Ngari Hill Ecolodge
686,Kalabo,ZM,66.78,moderate rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
687,Andenes,NO,33.8,light snow,69.3143,16.1194,Hotell Marena
688,Eureka,US,46.99,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
