City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Cape Town,ZA,21-02-03 23:57:08,-33.9258,18.4232,69.01,83,20,17.27
69,Kodiak,US,21-02-03 23:59:17,57.79,-152.4072,33.8,75,1,3.0
70,Arraial Do Cabo,BR,21-02-03 23:59:19,-22.9661,-42.0278,77.23,84,0,22.64
71,Cidreira,BR,21-02-03 23:59:19,-30.1811,-50.2056,76.89,94,100,10.13
72,Barrow,US,21-02-03 23:56:51,71.2906,-156.7887,-27.4,68,1,12.66
73,Cristalina,BR,21-02-03 23:59:20,-16.7686,-47.6136,64.99,97,93,2.53
74,Kamiiso,JP,21-02-03 23:59:20,41.8167,140.65,19.4,86,75,8.05
75,Nizwa,OM,21-02-03 23:59:20,22.9333,57.5333,53.91,64,0,1.81
76,Camacha,PT,21-02-03 23:59:22,33.0833,-16.3333,57.2,72,20,9.22
77,Weyburn,CA,21-02-03 23:57:14,49.6668,-103.8511,3.2,78,100,24.16
78,Itarema,BR,21-02-03 23:59:25,-2.9248,-39.9167,79.7,78,60,13.85
79,Praia Da Vitoria,PT,21-02-03 23:57:33,38.7333,-27.0667,52.0,82,40,27.18
80,Manavgat,TR,21-02-03 23:59:27,36.7867,31.4431,59.0,100,99,6.91
81,Tessalit,ML,21-02-03 23:59:27,20.1986,1.0114,68.32,21,0,14.41
82,Pevek,RU,21-02-03 23:59:28,69.7008,170.3133,-6.99,73,17,9.4
83,Ribeira Grande,PT,21-02-03 23:59:28,38.5167,-28.7,55.9,63,73,29.35
84,Wattegama,LK,21-02-03 23:59:28,6.7989,81.4808,70.5,87,55,7.65
85,Severnyy,RU,21-02-03 23:59:29,50.677,36.5532,35.6,100,90,11.18
86,Maceio,BR,21-02-03 23:59:29,-9.6658,-35.7353,75.2,88,0,5.75
87,Ushuaia,AR,21-02-03 23:56:54,-54.8,-68.3,51.8,66,75,6.91
88,Fare,PF,21-02-03 23:59:29,-16.7,-151.0167,81.07,71,52,9.95
89,Port Alfred,ZA,21-02-03 23:59:30,-33.5906,26.891,69.01,93,3,1.99
90,Constitucion,CL,21-02-03 23:59:30,-35.3333,-72.4167,64.35,67,0,11.48
91,Yar-Sale,RU,21-02-03 23:59:31,66.8333,70.8333,-11.0,90,82,9.64
92,Antigonish,CA,21-02-03 23:59:31,45.6169,-61.9986,44.01,89,64,6.96
93,Tha Chang,TH,21-02-03 23:59:31,9.2642,99.1922,72.0,100,20,2.3
94,Hilo,US,21-02-03 23:59:32,19.7297,-155.09,80.6,54,1,10.36
95,Clyde River,CA,21-02-03 23:55:21,70.4692,-68.5914,-20.2,76,75,2.3
96,Aksarka,RU,21-02-03 23:58:15,66.5606,67.7975,-6.12,91,78,8.14
97,Kapaa,US,21-02-03 23:59:33,22.0752,-159.319,75.0,78,75,9.22
98,Hobart,AU,21-02-03 23:59:33,-42.8794,147.3294,64.99,94,75,12.66
99,Sitka,US,21-02-03 23:59:33,57.0531,-135.33,39.2,70,90,8.05
100,Lasa,IT,21-02-03 23:59:34,46.6166,10.7002,37.0,93,90,4.5
101,Tsogni,GA,21-02-03 23:59:36,-2.7942,10.0988,78.19,90,100,4.47
102,Hasaki,JP,21-02-03 23:59:37,35.7333,140.8333,39.2,48,20,4.61
103,Homer,US,21-02-03 23:59:38,59.6425,-151.5483,28.4,86,90,5.75
104,Narsaq,GL,21-02-03 23:59:39,60.9167,-46.05,15.8,48,75,14.97
105,Saint-Georges,GD,21-02-03 23:59:39,12.0564,-61.7485,80.6,83,40,23.02
106,Alice Springs,AU,21-02-03 23:57:01,-23.7,133.8833,95.0,12,0,10.36
